Claim_ID,Claim_Date,Customer_ID,Customer_Segment,Customer_Age,Customer_Gender,Region,Product_Type,Claim_Amount,Claim_Status,Payout_Amount,Rejection_Reason,Processing_Time_Days
CLM15992,2024-12-24,CUST10121,Individual,50,,,Auto,18470.95,Approved,18103.95,,1
CLM10910,2024-09-18,CUST10648,SME,61,Male,West,Travel,2992.78,Rejected,0.0,Suspected Fraud,44
CLM16114,2025-06-19,CUST12004,Individual,33,Female,East,auto,13899.2,Under Review,0.0,,
CLM14958,2024-09-26,CUST13987,Individual,65,Female,West,Travel,2466.59,Under Review,0.0,,
CLM12333,20/11/2025,CUST11991,Individual,64,Male,Central,Home,9621.12,Rejected,0.0,Insufficient Documentation,28
CLM14905,2024-05-04,CUST11761,Individual,60,Male,Central,travel,1552.84,Rejected,0.0,Suspected Fraud,41
CLM12002,2025-11-26,CUST12368,Individual,74,Male,North,Home,4892.92,Approved,4490.78,,12
CLM17447,2025-04-06,CUST10983,SME,18,Male,South,Travel,180.38,Approved,146.62,,21
CLM10347,2025-11-19,CUST12852,Individual,27,Female,West,Life,78621.87,Under Review,0.0,,
CLM17520,2024-04-19,CUST13695,SME,62,Male,West,Home,49251.49,Under Review,0.0,,
CLM13256,2025-05-20,CUST11224,Individual,35,Female,West,Life,67583.39,Approved,53023.34,,44
CLM11095,2025-08-29,CUST13702,Individual,60,Female,East,health,12365.89,Rejected,0.0,Late Claim Filing,2
CLM16659,2025-07-23,CUST13707,SME,61,Male,Central,Travel,1619.65,Approved,1178.76,,9
CLM11332,02-28-2024,CUST13266,Individual,57,Female,SOUTH,Travel,406.61,Rejected,0.0,Suspected Fraud,7
CLM16369,22/10/2025,CUST13405,Individual,85,Female,NORTH,Life,11134.66,Approved,9376.86,,30
CLM14084,2024-12-31,CUST11169,Individual,65,Male,North,Travel,128.45,Approved,90.55,,28
CLM14625,2025-04-15,CUST10676,Individual,63,Male,East,Health,8112.94,Approved,7600.61,,28
CLM15833,2025-03-03,CUST12000,SME,68,Male,South,Life,47560.59,Approved,44416.51,,3
CLM12761,2024-08-10,CUST11294,Individual,49,Female,Central,health,13422.18,Approved,13408.27,,14
CLM14646,2025-06-30,CUST13388,SME,38,Female,East,Home,14552.07,Approved,13719.33,,2
CLM16771,2025-06-12,CUST11609,Individual,21,Other,Central,Life,57003.77,Approved,47150.65,,7
CLM18271,2025-04-29,CUST11467,Individual,40,Female,SOUTH,Home,11639.9,Approved,10648.79,,13
CLM12690,2024-01-19,CUST11342,Corporate,60,Male,North,Home,24002.51,Under Review,0.0,,
CLM13783,2025-06-14,CUST11862,Corporate,36,Male,South,Auto,4588.56,Approved,3469.94,,38
CLM10939,2024-12-31,CUST13599,SME,73,Female,South,Life,59291.54,Rejected,0.0,Suspected Fraud,2
CLM10001,2025-07-03,CUST11138,SME,63,Female,West,Health,3386.64,Under Review,0.0,,
CLM12430,2025-08-17,CUST13750,Corporate,38,Female,North,Auto,2452.38,Rejected,0.0,Lack of Coverage,10
CLM17269,18/04/2024,CUST10528,Corporate,82,,West,Life,41799.07,Approved,29435.97,,31
CLM13368,2024-06-27,CUST11807,Individual,59,Other,Central,Life,58765.74,Rejected,0.0,Policy Exclusion,10
CLM17497,2025-03-29,CUST10580,SME,31,Female,East,Auto,8038.23,Approved,7779.73,,26
CLM10825,2025-06-21,CUST13795,SME,53,Male,South,Health,2202.0,Approved,1922.75,,24
CLM12726,2025-10-06,CUST10272,INDIVIDUAL,59,Female,North,Health,3839.57,Approved,2877.75,,28
CLM16811,11/04/2025,CUST11448,Corporate,73,Female,Central,Travel,4253.45,Approved,3801.78,,41
CLM10694,2024-04-21,CUST12812,Individual,18,Male,West,Life,23853.65,Approved,17797.73,,5
CLM11053,05/06/2024,CUST10183,Individual,57,Female,North,Home,19014.58,Under Review,0.0,,
CLM11352,2025-01-06,CUST10471,Individual,29,Male,North,Life,79041.02,Approved,67569.27,,26
CLM18047,2025-06-09,CUST12971,Corporate,79,Male,South,Auto,6104.84,Rejected,0.0,Insufficient Documentation,38
CLM12222,2024-01-26,CUST11821,Individual,45,Male,North,Health,9456.59,Approved,7257.85,,30
CLM17581,2025-04-13,CUST13405,Individual,65,Female,North,Life,77061.2,Approved,63954.64,,34
CLM13088,2024-10-25,CUST11500,Individual,80,Male,West,Home,22643.14,Rejected,0.0,Insufficient Documentation,17
CLM14550,2024-07-13,CUST11982,Individual,46,Male,West,Health,10353.93,Approved,8467.11,,30
CLM17313,2024-08-20,CUST13358,Corporate,44,Female,Central,Health,2929.59,Under Review,0.0,,
CLM17781,2024-05-25,CUST10253,SME,64,Female,East,Home,8570.44,Approved,6335.63,,8
CLM15027,2024-02-18,CUST12923,Individual,60,Other,West,Travel,1143.04,Approved,990.95,,8
CLM13817,2025-02-20,CUST11883,Individual,29,Other,Central,Travel,3510.65,Approved,2974.3,,43
CLM16545,2024-04-12,CUST10421,SME,49,Male,South,Health,9689.34,Approved,7288.22,,34
CLM17363,09/04/2024,CUST10033,Corporate,71,Male,West,HEALTH,2501.52,Rejected,0.0,Lack of Coverage,34
CLM14944,2024-06-14,CUST11738,Individual,35,Male,West,Travel,3579.77,Approved,3104.44,,31
CLM14565,2024-01-19,CUST12207,Individual,25,Male,Central,home,15069.15,Rejected,0.0,Suspected Fraud,41
CLM18011,2024-05-12,CUST13967,Individual,52,Female,South,Health,1368.52,Approved,1290.08,,10
CLM17557,2024-04-02,CUST12681,Individual,29,Male,North,Life,15866.88,Approved,15148.74,,8
CLM10586,2025-07-02,CUST10019,Individual,26,Male,South,Home,19852.92,Approved,19332.46,,44
CLM16881,2025-01-01,CUST11333,sme,79,Female,East,Life,88041.95,Approved,78883.92,,26
CLM11570,2025-12-07,CUST11600,Corporate,72,Male,East,Life,65982.21,Approved,59079.83,,15
CLM13104,2025-01-11,CUST10886,Individual,47,Male,East,Auto,1001.17,Approved,703.6,,37
CLM17202,2025-06-20,CUST12626,Individual,44,Male,South,Home,11679.0,Rejected,0.0,Insufficient Documentation,44
CLM10243,2025-01-19,CUST12969,Individual,63,Male,EAST,Home,28203.68,Rejected,0.0,Late Claim Filing,37
CLM12739,2024-05-21,CUST10389,Corporate,66,Male,West,Travel,505.28,Approved,426.07,,32
CLM16174,12-30-2025,CUST11747,Corporate,24,Male,North,Home,15671.27,Rejected,0.0,Suspected Fraud,24
CLM10684,2024-04-27,CUST11656,Individual,33,Male,North,Travel,2087.14,Approved,1893.85,,17
CLM13017,2025-04-19,CUST12797,Corporate,46,Female,West,health,13329.21,Approved,10421.9,,31
CLM10941,2024-03-25,CUST10074,SME,38,Male,East,HOME,42490.37,Approved,31253.33,,2
CLM11627,2024-08-04,CUST13193,Corporate,43,Female,West,Auto,3358.93,Rejected,0.0,Late Claim Filing,34
CLM14226,2024-08-02,CUST10617,Individual,71,Female,East,Life,26781.31,Approved,22260.12,,17
CLM11266,2025-05-06,CUST10728,SME,75,Female,West,Home,33003.63,Rejected,0.0,Insufficient Documentation,20
CLM12899,2025-01-17,CUST11969,SME,25,Female,North,Life,94754.35,Approved,71937.44,,11
CLM16311,2025-07-08,CUST10367,Individual,24,Female,East,Life,63309.81,Approved,59982.51,,41
CLM17233,24/09/2025,CUST10184,SME,74,Female,South,Travel,2392.92,Approved,1685.3,,34
CLM16978,2025-03-21,CUST12520,SME,44,Male,South,Travel,1947.72,Under Review,0.0,,
CLM12255,25/01/2025,CUST11131,SME,55,Male,East,Auto,7020.31,Approved,5980.35,,13
CLM12029,2025-02-27,CUST13364,Individual,39,Female,south,Life,67595.99,Approved,54720.09,,1
CLM16413,2025-10-24,CUST10487,SME,40,Male,North,Home,19168.81,Approved,16304.3,,36
CLM12793,2025-07-18,CUST13962,Individual,74,Male,Central,Home,38999.14,Approved,37984.29,,21
CLM16914,2024-11-01,CUST13726,SME,78,Male,South,Life,62453.93,Approved,59129.78,,22
CLM16464,2024-08-10,CUST11612,Individual,55,Female,South,Home,8925.61,Approved,7934.8,,10
